address,borough_name,borough_abbrev,bin_number,block,lot,inspection_date,access_1,ecb_violation_number,dob_violation_number,longitude,latitude
1013 BEDFORD AVENUE,Brooklyn,BK,3322140,1788,9,2015-06-27,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35136657P,"062815CNEMR01,DG01",-73.95484794,40.68932672
1019 SIMPSON STREET,Bronx,BX,2005770,2724,32,2017-01-12,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.89339859,40.8235439
1019 SIMPSON STREET,Bronx,BX,2005770,2724,32,2016-07-08,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35169023Y,070816CNEAC01,-73.89339859,40.8235439
102-02 43 AVENUE,Queens,QN,4048594,1978,1,2017-07-21,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35263637J,072117CNEDG01,-73.86257281,40.74700894
102-10 37 AVENUE,Queens,QN,4044219,1768,7,2016-04-15,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.86489127,40.75297046
102-14 ROOSEVELT AVENUE,Queens,QN,4437314,1974,2,2015-12-13,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.86323,40.74960861
102-14 ROOSEVELT AVENUE,Queens,QN,4437314,1974,2,2014-02-15,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35090750Z,021514PANEDG01,-73.86323,40.74960861
102-14 ROOSEVELT AVENUE,Queens,QN,4437314,1974,2,2017-04-23,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.86323,40.74960861
102-14 ROOSEVELT AVENUE,Queens,QN,4437314,1974,2,2013-02-16,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.86323,40.74960861
102-21 ROOSEVELT AVENUE,Queens,QN,4044372,1770,41,2013-10-05,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35065308L,,-73.86330785,40.75006221
102-21 ROOSEVELT AVENUE,Queens,QN,4044372,1770,41,2015-01-23,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35117931P,012315PANER02,-73.86330785,40.75006221
102-21 ROOSEVELT AVENUE,Queens,QN,4044372,1770,41,2014-05-04,MARCH: NO PA PERMIT/ECB NOV ISSUED,35091028X,0504014PANEMC01,-73.86330785,40.75006221
102-21 ROOSEVELT AVENUE,Queens,QN,4044372,1770,41,2012-12-01,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35006479X,120112CNEJM04,-73.86330785,40.75006221
102-21 ROOSEVELT AVENUE,Queens,QN,4044372,1770,41,2014-08-24,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35095997N,082414CNETZ03/02,-73.86330785,40.75006221
102-21 ROOSEVELT AVENUE,Queens,QN,4044372,1770,41,2015-06-06,MARCH: NO PA PERMIT/ECB NOV ISSUED,35000490J,060615PANEDR01,-73.86330785,40.75006221
102-21 ROOSEVELT AVENUE,Queens,QN,4044372,1770,41,2012-12-01,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35006480N,120112PANEJM05,-73.86330785,40.75006221
102-21 ROOSEVELT AVENUE,Queens,QN,4044372,1770,41,2014-08-24,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35095998P,082414CNETZ03/02,-73.86330785,40.75006221
102-53 43 AVENUE,Queens,QN,4431855,1977,29,2012-10-06,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.86111389,40.74795401
1020 AMSTERDAM AVENUE,Manhattan,MN,1056908,1882,28,2013-11-15,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,35064754R,,-73.9640423,40.80335559
1020 EAST 48 STREET,Brooklyn,BK,3106488,4786,22,2015-01-30,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35117984Z,,-73.93116408,40.63620462
103 EMPIRE BOULEVARD,Brooklyn,BK,3034457,1306,37,2013-05-31,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.95861392,40.66384344
103 EMPIRE BOULEVARD,Brooklyn,BK,3034457,1306,37,2013-01-18,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.95861392,40.66384344
103 EMPIRE BOULEVARD,Brooklyn,BK,3034457,1306,37,2014-02-01,MARCH: NO PA PERMIT/ECB NOV ISSUED,35081096Z,,-73.95861392,40.66384344
103-08 39 AVENUE,Queens,QN,4044402,1770,113,2012-11-30,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35006477M,113012CNEJM02,-73.86278387,40.75062126
103-11 39 AVENUE,Queens,QN,4437223,1769,55,2012-12-01,MARCH: NO PA PERMIT/ECB NOV ISSUED,35006478Y,120112PAERJM03,-73.86257821,40.75097327
1031 GRAND STREET,Brooklyn,BK,3338342,2925,1,2012-10-12,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.93445541,40.71398025
1038 FLATBUSH AVENUE,Brooklyn,BK,3328218,5125,60,2015-04-29,STOP WORK ORDER FULLY RESCINDED N,35122263P,042215BS14CR01,-73.95839362,40.64573992
1038 FLATBUSH AVENUE,Brooklyn,BK,3328218,5125,60,2015-04-22,STOP WORK ORDER FULLY RESCINDED N,35122263P,042215BS14CR01,-73.95839362,40.64573992
104 AVENUE C,Manhattan,MN,1004469,376,7,2013-05-23,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.97870041,40.72384934
104 DYCKMAN STREET,Manhattan,MN,1084401,2174,66,2016-08-13,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35196888R,081316CNETZ02,-73.92522433,40.86172527
104 DYCKMAN STREET,Manhattan,MN,1084401,2174,66,2016-08-13,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35196889Z,081316CNETZ01,-73.92522433,40.86172527
104 DYCKMAN STREET,Manhattan,MN,1084401,2174,66,2016-08-13,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35196889Z,081316CNETZ02,-73.92522433,40.86172527
104 DYCKMAN STREET,Manhattan,MN,1084401,2174,66,2016-08-13,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35196888R,081316CNETZ01,-73.92522433,40.86172527
104-07 LIBERTY AVENUE,Queens,QN,4201475,9508,47,2012-07-08,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.83676659,40.68237049
104-09 123 STREET,Queens,QN,4204508,9577,65,2015-09-12,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.82042573,40.68725175
104-09 123 STREET,Queens,QN,4204508,9577,65,2015-03-08,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.82042573,40.68725175
104-14 JAMAICA AVENUE,Queens,QN,4194334,9289,106,2016-03-20,MARCH: NO PA PERMIT/ECB NOV ISSUED,35168222M,032016PAERDM01,-73.84278431,40.69497135
104-16 ROOSEVELT AVENUE,Queens,QN,4437332,1984,1,2013-10-26,MARCH: NO PA PERMIT/ECB NOV ISSUED,35029712P,,-73.86104072,40.74977225
104-16 ROOSEVELT AVENUE,Queens,QN,4437332,1984,1,2013-10-26,MARCH: NO PA PERMIT/ECB NOV ISSUED,35029711N,,-73.86104072,40.74977225
104-22 NORTHERN BOULEVARD,Queens,QN,4042657,1719,10,2016-04-15,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.86378844,40.75745258
1046 WOODYCREST AVENUE,Bronx,BX,2003140,2508,22,2013-05-03,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.92683682,40.83370193
105-06 JAMAICA AVENUE,Queens,QN,4194289,9289,21,2017-04-01,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.84168597,40.69502738
105-06 JAMAICA AVENUE,Queens,QN,4194289,9289,21,2016-10-16,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.84168597,40.69502738
105-06 JAMAICA AVENUE,Queens,QN,4194289,9289,21,2016-03-20,MARCH: NO PA PERMIT/ECB NOV ISSUED,35168911H,032016PAERMT05,-73.84168597,40.69502738
105-13 JAMAICA AVENUE,Queens,QN,4192040,9201,39,2015-02-13,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.84151164,40.69548008
105-13 JAMAICA AVENUE,Queens,QN,4192040,9201,39,2012-07-03,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.84151164,40.69548008
1053 EAST 45 STREET,Brooklyn,BK,3114528,5022,50,2013-09-29,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.93318759,40.63535931
1055 EAST 45 STREET,Brooklyn,BK,3114528,5022,50,2014-09-21,MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED,35103244X,092114CERDM01,-73.93318759,40.63535931
1055 EAST 45 STREET,Brooklyn,BK,3114528,5022,50,2012-09-15,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.93318759,40.63535931
1055 EAST 45 STREET,Brooklyn,BK,3114528,5022,50,2015-01-30,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.93318759,40.63535931
1055 EAST 45 STREET,Brooklyn,BK,3114528,5022,50,2013-05-05,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.93318759,40.63535931
1061 HOME STREET,Bronx,BX,2010898,3006,13,2012-06-02,MARCH: CONTRARY TO APPROVED PLANS/ECB NOV ISSUED,34955580Z,,-73.88720551,40.82839461
1061 HOME STREET,Bronx,BX,2010898,3006,13,2013-08-10,MARCH: NO PA PERMIT/ECB NOV ISSUED,35022198J,,-73.88720551,40.82839461
1061 HOME STREET,Bronx,BX,2010898,3006,13,2013-08-10,MARCH: NO PA PERMIT/ECB NOV ISSUED,35025447P,,-73.88720551,40.82839461
1062 FLATBUSH AVENUE,Brooklyn,BK,3118553,5152,8,2013-05-17,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.95826032,40.64479219
1062 FLATBUSH AVENUE,Brooklyn,BK,3118553,5152,8,2014-01-17,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35081526J,011714CNEDM02,-73.95826032,40.64479219
1062 FLATBUSH AVENUE,Brooklyn,BK,3118553,5152,8,2012-06-30,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,34952090M,,-73.95826032,40.64479219
1062 FLATBUSH AVENUE,Brooklyn,BK,3118553,5152,8,2012-06-30,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,34952089P,,-73.95826032,40.64479219
1062 FLATBUSH AVENUE,Brooklyn,BK,3118553,5152,8,2013-01-04,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.95826032,40.64479219
1062 FLATBUSH AVENUE,Brooklyn,BK,3118553,5152,8,2013-11-23,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.95826032,40.64479219
1065 PACIFIC STREET,Brooklyn,BK,3255799,1126,86,2016-06-19,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.95792255,40.67915371
107 NORTH 6 STREET,Brooklyn,BK,3062062,2326,31,2017-03-31,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.95986071,40.71846616
107 SUFFOLK STREET,Manhattan,MN,1004301,353,54,2013-02-15,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.98643603,40.71909368
107 SUFFOLK STREET,Manhattan,MN,1004301,353,54,2012-08-14,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.98643603,40.71909368
107-09 ROCKAWAY BOULEVARD,Queens,QN,4247539,11474,6,2015-09-12,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35136905P,091215CERAJ02,-73.83182018,40.67859801
107-09 ROCKAWAY BOULEVARD,Queens,QN,4247539,11474,6,2013-09-28,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35065030X,092813CNEDC01,-73.83182018,40.67859801
107-09 ROCKAWAY BOULEVARD,Queens,QN,4247539,11474,6,2015-09-12,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35136904N,091215CERAJ01,-73.83182018,40.67859801
107-09 ROCKAWAY BOULEVARD,Queens,QN,4247539,11474,6,2015-09-12,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35136905P,091215CERAJ01,-73.83182018,40.67859801
107-09 ROCKAWAY BOULEVARD,Queens,QN,4247539,11474,6,2016-03-19,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35180105P,"031916CERFC03,02,01",-73.83182018,40.67859801
107-09 ROCKAWAY BOULEVARD,Queens,QN,4247539,11474,6,2013-09-28,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35065031H,092813CNEAC02,-73.83182018,40.67859801
107-09 ROCKAWAY BOULEVARD,Queens,QN,4247539,11474,6,2015-09-12,MARCH: WORK WITHOUT PERMIT/ECB NOV ISSUED,35136904N,091215CERAJ02,-73.83182018,40.67859801
107-09 ROCKAWAY BOULEVARD,Queens,QN,4247539,11474,6,2016-03-19,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35180107Z,"031916CERFC03,02,01",-73.83182018,40.67859801
107-09 ROCKAWAY BOULEVARD,Queens,QN,4247539,11474,6,2016-03-19,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35180106R,"031916CERFC03,02,01",-73.83182018,40.67859801
107-10 ROCKAWAY BOULEVARD,Queens,QN,4247860,11482,33,2012-07-08,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.83193039,40.67806498
107-11 NORTHERN BOULEVARD,Queens,QN,4042212,1702,62,2013-10-06,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35065313X,,-73.86150178,40.75809991
107-14 101 AVENUE,Queens,QN,4198624,9425,106,2013-09-13,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.83545415,40.68700657
107-15 112 STREET,Queens,QN,4203433,9550,76,2015-03-21,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35127185L,032115CNER03,-73.82857799,40.68229105
107-23 LIBERTY AVENUE,Queens,QN,4201673,9512,33,2016-03-08,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.83399426,40.68386331
108 NORTH 6 STREET,Brooklyn,BK,3062167,2334,20,2016-04-30,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.96032206,40.71824401
108 NORTH 6 STREET,Brooklyn,BK,3062167,2334,20,2016-09-10,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35212650Y,091016CERLP01,-73.96032206,40.71824401
108-02 NORTHERN BOULEVARD,Queens,QN,4042782,1723,1,2012-07-06,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.86076325,40.75755741
108-14 ROOSEVELT AVENUE,Queens,QN,4049189,1996,9,2014-02-15,ECB VIOLATION SERVED,35090750Z,,-73.85803845,40.75065997
1088 FULTON STREET,Brooklyn,BK,3057707,2016,22,2015-06-28,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.9574035,40.68121962
1088 FULTON STREET,Brooklyn,BK,3057707,2016,22,2013-11-15,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35064942Y,,-73.9574035,40.68121962
1089 CYPRESS AVENUE,Queens,QN,4086050,3567,3,2014-04-06,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35081419Y,040614CNETZ03,-73.89984668,40.69651978
109 EAST 9 STREET,Manhattan,MN,1008963,555,40,2012-12-05,MARCH: NO PA PERMIT/ECB NOV ISSUED,34940585X,121412PANETZ01,-73.989889,40.73050486
109 EAST 9 STREET,Manhattan,MN,1008963,555,40,2012-12-05,MARCH: NO PA PERMIT/ECB NOV ISSUED,35000256L,121412PANETZ01,-73.989889,40.73050486
109 GRAHAM AVENUE,Brooklyn,BK,3071343,3079,25,2016-03-13,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35168794H,031316CNEJM01,-73.94321395,40.7054737
109 LUDLOW STREET,Manhattan,MN,1005319,410,25,2012-08-11,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,34985178H,081112CERLP02,-73.9889559,40.71941471
109-06 CORONA AVENUE,Queens,QN,4048132,1955,9,2012-10-06,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.85396481,40.74205345
109-07 LIBERTY AVENUE,Queens,QN,4201755,9514,28,2015-09-11,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.83249034,40.68446728
109-07 LIBERTY AVENUE,Queens,QN,4201755,9514,28,2014-09-12,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.83249034,40.68446728
109-08 LIBERTY AVENUE,Queens,QN,4202337,9532,4,2016-03-08,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.83250512,40.68392273
1098 LAFAYETTE AVENUE,Bronx,BX,2005839,2731,40,2013-03-17,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35006512Z,,-73.89347651,40.81600944
1098 LAFAYETTE AVENUE,Bronx,BX,2005839,2731,40,2013-10-12,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.89347651,40.81600944
11 WEST 32 STREET,Manhattan,MN,1015850,834,33,2016-01-29,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.98623205,40.74770416
111 ORIENTAL BOULEVARD,Brooklyn,BK,3245979,8732,6,2013-12-06,MARCH: NO PA PERMIT/ECB NOV ISSUED,35080952H,,-73.95247138,40.57719511
111 ORIENTAL BOULEVARD,Brooklyn,BK,3245979,8732,6,2013-12-06,MARCH: NO PA PERMIT/ECB NOV ISSUED,35030391L,,-73.95247138,40.57719511
111-10 ROOSEVELT AVENUE,Queens,QN,4435542,2013,5,2014-11-14,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35111511L,111515CNEJM01,-73.85532289,40.7514702
111-10 ROOSEVELT AVENUE,Queens,QN,4435542,2013,5,2014-06-13,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,35095982K,,-73.85532289,40.7514702
111-10 ROOSEVELT AVENUE,Queens,QN,4435542,2013,5,2014-02-15,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.85532289,40.7514702
111-16 ROOSEVELT AVENUE,Queens,QN,4563780,2013,108,2015-04-17,MARCH: NO PA PERMIT/ECB NOV ISSUED,35127457X,041715CERNEFC02,-73.85507265,40.75154516
111-18 ROOSEVELT AVENUE,Queens,QN,4049890,2013,9,2013-02-16,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.8550034,40.7515659
111-46 LEFFERTS BOULEVARD,Queens,QN,4250423,11623,29,2014-04-25,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.82103,40.67915505
111-46 LEFFERTS BOULEVARD,Queens,QN,4250423,11623,29,2015-03-07,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.82103,40.67915505
1114 AVENUE U,Brooklyn,BK,3199355,7343,5,2016-09-10,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.96061395,40.59811324
1116 AVENUE U,Brooklyn,BK,3199356,7343,6,2015-12-04,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.96054458,40.59812796
1116 AVENUE U,Brooklyn,BK,3199356,7343,6,2012-07-20,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.96054458,40.59812796
1116 AVENUE U,Brooklyn,BK,3199356,7343,6,2014-06-06,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.96054458,40.59812796
1118 CORTELYOU ROAD,Brooklyn,BK,3118611,5154,9,2016-08-05,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.96718881,40.6396648
1118 CORTELYOU ROAD,Brooklyn,BK,3118611,5154,9,2013-05-17,MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV & PARTIAL VACATE ISSUED P,35010713R,,-73.96718881,40.6396648
1119 FLATBUSH AVENUE,Brooklyn,BK,3118897,5165,64,2016-03-16,VACATE,,,-73.95741414,40.64320756
1119 FLATBUSH AVENUE,Brooklyn,BK,3118897,5165,64,2016-03-23,VACATE,,,-73.95741414,40.64320756
1119 FLATBUSH AVENUE,Brooklyn,BK,3118897,5165,64,2013-11-23,VACATE,,,-73.95741414,40.64320756
1119 FLATBUSH AVENUE,Brooklyn,BK,3118897,5165,64,2015-11-19,VACATE,,,-73.95741414,40.64320756
112 AVENUE A,Manhattan,MN,1005082,402,7501,2012-12-15,MARCH: NO PA PERMIT/ECB NOV ISSUED,35000257N,121512PANETZ01,-73.9833743,40.72583377
112 RIVINGTON STREET,Manhattan,MN,1005380,411,7501,2013-02-15,MARCH: FAILURE TO MAINTAIN BLDG/ECB NOV ISSUED,35006424Z,,-73.98770434,40.7200669
112 RIVINGTON STREET,Manhattan,MN,1005380,411,7501,2012-08-14,MARCH: OCCUPANCY CONTRARY TO C OF O/NONE/ECB NOV ISSUED,34985179J,081112CERLP03,-73.98770434,40.7200669
112 RIVINGTON STREET,Manhattan,MN,1005380,411,7501,2015-03-13,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.98770434,40.7200669
112 RIVINGTON STREET,Manhattan,MN,1005380,411,7501,2016-05-21,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.98770434,40.7200669
112-06 LIBERTY AVENUE,Queens,QN,4202528,9535,3,2014-04-25,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.82990265,40.68495276
112-07 JAMAICA AVENUE,Queens,QN,4192679,9226,31,2016-10-15,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.83618573,40.69781618
112-08 ROCKAWAY BEACH BOULEVARD,Queens,QN,4303744,16166,43,2015-11-13,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.83417506,40.58092018
112-08 ROCKAWAY BEACH BOULEVARD,Queens,QN,4303744,16166,43,2015-02-20,MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED,35117455N,022015CNERWS02,-73.83417506,40.58092018
112-16 ROCKAWAY BEACH BOULEVARD,Queens,QN,4303743,16166,40,2014-05-09,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.83434394,40.58087261
112-32 ROCKAWAY BEACH BOULEVARD,Queens,QN,4457875,16166,35,2015-02-20,MARCH: NO ENFORCEMENT ACTION TAKEN,,,-73.83467981,40.58077876
112-51 ROOSEVELT AVENUE,Queens,QN,4044995,1786,28,2017-04-30,MARCH: EXIT PASSAGE OBSTRUCTED/ECB NOV ISSUED,35245117R,043017CNESC01,-73.85282169,40.75267314
