Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
40829631,05/15/2012 02:06:54 PM,08/28/2012 12:00:00 AM,DOB,Department of Buildings,General Construction/Plumbing,Building Permit - None,,,772 DEAN STREET,DEAN STREET,,,,,,,,N/A,Closed,,The Department of Buildings investigated this complaint and removed the stop work order.,08/28/2012 12:00:00 AM,Unspecified BROOKLYN,,BROOKLYN,,,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,,,
28390818,07/02/2014 12:59:04 PM,01/13/2015 10:23:34 AM,DPR,Department of Parks and Recreation,New Tree Request,For One Address,Street,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,N/A,Closed,01/17/2015 01:56:57 PM,The agency has declined the new tree request because the suggested location cannot be planted due to infrastructure conflicts.,01/13/2015 10:22:55 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,OTHER,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
31611165,09/25/2015 11:21:10 PM,09/26/2015 03:10:21 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/26/2015 07:21:10 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/26/2015 03:09:22 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
31627341,09/27/2015 10:36:29 PM,09/27/2015 11:02:51 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/28/2015 06:36:29 AM,The Police Department responded to the complaint and determined that police action was not necessary.,09/27/2015 11:02:31 PM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
32403668,01/12/2016 08:00:32 AM,02/01/2016 12:00:00 AM,DOB,Department of Buildings,Plumbing,Plumbing-Defective/Leaking/Not Maintained,,11238,772 DEAN STREET,DEAN STREET,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Buildings has made a second attempt to conduct an inspection of this premises and was denied access. No further attempts will be made.,02/01/2016 12:00:00 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
33249283,05/01/2016 01:28:41 AM,05/01/2016 03:20:21 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/01/2016 09:28:41 AM,The Police Department responded to the complaint and took action to fix the condition.,05/01/2016 03:20:21 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
33634588,06/19/2016 06:05:24 PM,06/19/2016 07:34:25 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/20/2016 02:05:24 AM,The Police Department responded to the complaint and took action to fix the condition.,06/19/2016 07:34:25 PM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
33637033,06/19/2016 05:56:46 PM,06/19/2016 07:34:25 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/20/2016 01:56:46 AM,The Police Department responded to the complaint and took action to fix the condition.,06/19/2016 07:34:25 PM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
33947824,07/27/2016 12:48:16 PM,08/01/2016 10:16:36 AM,DPR,Department of Parks and Recreation,New Tree Request,For One Address,,11238,772 DEAN STREET,DEAN STREET,,,,,LATLONG,BROOKLYN,,N/A,Closed,07/17/2018 12:48:16 PM,No action was taken because the Department of Parks and Recreation determined that the issue is out of its jurisdiction. The condition may be on private property or in an area serviced by another organization.,08/01/2016 10:16:36 AM,08 BROOKLYN,,BROOKLYN,994092,186722,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.6791801,-73.9645157,"(40.6791801, -73.9645157)"
34227561,09/03/2016 12:48:48 AM,09/03/2016 01:03:37 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/03/2016 08:48:48 AM,The Police Department responded to the complaint and took action to fix the condition.,09/03/2016 01:03:37 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
34268955,09/08/2016 12:35:50 AM,09/08/2016 04:46:49 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/08/2016 08:35:50 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/08/2016 04:46:49 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
34386633,09/23/2016 10:45:26 PM,09/24/2016 01:22:59 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/24/2016 06:45:26 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/24/2016 01:22:59 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
34390917,09/23/2016 10:51:17 PM,09/24/2016 01:23:03 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Talking,Club/Bar/Restaurant,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/24/2016 06:51:17 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/24/2016 01:23:03 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
34444035,10/01/2016 11:59:36 PM,10/02/2016 12:23:26 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/02/2016 07:59:36 AM,The Police Department responded to the complaint and took action to fix the condition.,10/02/2016 12:23:26 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
34587759,10/22/2016 12:26:57 AM,10/22/2016 07:21:01 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/22/2016 08:26:57 AM,The Police Department responded to the complaint and took action to fix the condition.,10/22/2016 07:21:02 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
34656303,10/29/2016 11:07:30 PM,10/30/2016 12:56:31 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/30/2016 07:07:30 AM,The Police Department responded to the complaint and took action to fix the condition.,10/30/2016 12:56:31 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
34970705,12/09/2016 10:47:32 PM,12/09/2016 11:17:09 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,12/10/2016 06:47:32 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,12/09/2016 11:17:09 PM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
35252134,01/15/2017 12:05:13 AM,01/15/2017 02:45:50 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,01/15/2017 08:05:13 AM,The Police Department responded to the complaint and took action to fix the condition.,01/15/2017 02:45:50 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
35786927,03/25/2017 12:37:54 AM,03/25/2017 03:55:18 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,03/25/2017 08:37:54 AM,The Police Department responded to the complaint and determined that police action was not necessary.,03/25/2017 03:55:18 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
35900039,04/09/2017 12:27:26 AM,04/09/2017 03:34:25 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/09/2017 08:27:26 AM,The Police Department responded to the complaint and took action to fix the condition.,04/09/2017 03:34:25 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
35949102,04/15/2017 12:56:54 AM,04/15/2017 01:24:06 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/15/2017 08:56:54 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,04/15/2017 01:24:06 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
36055739,04/28/2017 11:35:11 PM,04/29/2017 07:34:54 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,04/29/2017 07:35:11 AM,The Police Department responded to the complaint and determined that police action was not necessary.,04/29/2017 07:34:54 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
36279430,05/26/2017 01:02:45 AM,05/26/2017 03:26:27 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,05/26/2017 09:02:45 AM,The Police Department responded to the complaint and took action to fix the condition.,05/26/2017 03:26:27 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
36476050,06/18/2017 02:51:06 AM,06/18/2017 07:28:32 AM,NYPD,New York City Police Department,Noise - Commercial,Car/Truck Music,Store/Commercial,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/18/2017 10:51:06 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,06/18/2017 07:28:32 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
36480742,06/18/2017 03:12:55 AM,06/18/2017 03:19:21 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/18/2017 11:12:55 AM,The Police Department reviewed your complaint and provided additional information below.,06/18/2017 03:19:21 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
36565120,06/29/2017 12:21:31 AM,06/29/2017 02:03:17 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,06/29/2017 08:21:31 AM,The Police Department responded to the complaint and took action to fix the condition.,06/29/2017 02:03:17 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
36650295,07/08/2017 11:53:33 PM,07/09/2017 05:17:53 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/09/2017 07:53:33 AM,The Police Department responded to the complaint and determined that police action was not necessary.,07/09/2017 05:17:53 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
36705357,07/15/2017 05:02:27 PM,07/15/2017 06:04:45 PM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/16/2017 01:02:27 AM,The Police Department responded to the complaint and took action to fix the condition.,07/15/2017 06:04:45 PM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
36707690,07/15/2017 07:28:38 PM,07/15/2017 07:32:44 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,Street/Sidewalk,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/16/2017 03:28:38 AM,The Police Department responded to the complaint and took action to fix the condition.,07/15/2017 07:32:44 PM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
36758521,07/22/2017 01:22:26 AM,07/22/2017 03:47:33 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,07/22/2017 09:22:26 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,07/22/2017 03:47:33 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
36876645,08/05/2017 02:48:55 AM,08/05/2017 03:56:20 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/05/2017 10:48:55 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/05/2017 03:56:20 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
36909529,08/09/2017 05:20:52 AM,08/09/2017 12:21:29 PM,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,Street/Sidewalk,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/09/2017 01:20:52 PM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/09/2017 12:21:29 PM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
36982852,08/19/2017 11:38:37 PM,08/20/2017 02:02:36 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/20/2017 07:38:37 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/20/2017 02:02:36 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
36993532,08/20/2017 01:50:13 AM,08/20/2017 08:03:22 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/20/2017 09:50:13 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/20/2017 08:03:22 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
37028950,08/25/2017 11:59:04 PM,08/26/2017 01:32:57 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Store/Commercial,11238,772 DEAN STREET,DEAN STREET,UNDERHILL AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,08/26/2017 07:59:04 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,08/26/2017 01:32:57 AM,08 BROOKLYN,3011390014,BROOKLYN,994076,186829,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.6794737,-73.9645739,"(40.6794737, -73.9645739)"
